frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score,car_color,object_type
7,2.0,[241.38280157650564 469.2540445660373 474.98950619799206 684.8797832498342],[314.6251220703125 608.5050048828125 394.2725830078125 633.0751953125],0.37353065609931946,HA13HRI,0.06855130854258659,white,Car
16,2.0,[226.62148024910903 487.39454835926824 467.02381198872195 705.9098020292753],[304.46356201171875 637.6180419921875 383.08612060546875 662.495849609375],0.4550485610961914,KU13NRV,0.06043582474645106,white,Car
19,5.0,[734.8353827819109 414.26820524719227 947.9534594773394 619.1040291852272],[786.0855102539062 552.6417236328125 870.8152465820312 580.00927734375],0.27526211738586426,LI51VSU,0.18142774295171982,navy,Car
26,2.0,[215.2602805309779 511.3359241627897 460.02983970671687 719.2912239009956],[287.91815185546875 665.6011962890625 374.51220703125 690.4439697265625],0.35275354981422424,MA13NRU,0.36600511875530733,white,Car
32,2.0,[209.80384878345478 525.9777867201384 456.74518641411964 719.112469935446],[288.1156005859375 679.8983764648438 366.54931640625 707.3366088867188],0.25301897525787354,MA13NRU,0.3587055642034267,white,Car
72,6.0,[351.5386291252505 420.6048641571891 562.7600922477768 587.7765219963667],[398.728759765625 517.0966796875 534.8368530273438 553.2681884765625],0.2817589044570923,GX15OCJ,0.2691148566730589,white,Car
78,6.0,[345.1498460425224 429.25503360905344 563.1967320566118 599.836697647266],[386.0751953125 533.070556640625 508.004150390625 568.941650390625],0.3311513662338257,CI15UGJ,0.08622566284133576,white,Car
80,6.0,[342.51670429513194 432.16213769748623 563.4342291756265 603.4183966733581],[404.08453369140625 536.478515625 518.3908081054688 568.7977294921875],0.4791674315929413,GX15OCJ,0.37417597291355315,white,Car
81,6.0,[340.04227767068096 434.2563441024428 561.8366290300529 605.7075264395042],[364.45062255859375 532.1334228515625 513.0557250976562 569.202392578125],0.4335123598575592,LI15OGJ,0.2279307481532057,white,Car
94,6.0,[325.8558685165243 455.8182990297439 561.8793589990562 636.6047365323197],[397.93939208984375 565.299560546875 528.2232055664062 604.536865234375],0.6209779381752014,SX15OCJ,0.09861101577286659,white,Car
113,6.0,[306.60132396801976 496.73476308376456 553.1250217836282 691.9853593958101],[352.5374755859375 604.9833984375 533.0345458984375 660.53662109375],0.3901935815811157,GX15OCJ,0.3866143418069485,white,Car
114,6.0,[303.3553431914926 499.29650211262543 552.0500229063558 695.80275054468],[341.3519287109375 612.3311767578125 491.55889892578125 656.5286865234375],0.5381667017936707,GX15OCJ,0.38914985996532275,white,Car
